Title,Business Line,Description
Access to Copilot 365 for Business Development,Mid Market Business?,"I would like to pilot this through a BD lens. Being able to write emails to clients, take information in emails and have it populate existing templates for other teams. Download information from our systems like C3 to have excel analyze the data on who we should be calling for win back programs and portfolio analysis. Downloading online lists to help clean up and organize prospects to call, who to call, and what they would want to hear to best open the door for a sales visit.  Analyzing sector information in regions and forecasting where we should be spending out time. Being able to create briefing documents and credit write ups easier and faster, create tailored power point presentations to help sell our product directly to their needs.   I have a heavy list of things I think that copilot could be doing for BD to help remove administrative tasks, increase business development activities, and streamline process."
AI corporate video post production tool,Marketing,"After shooting raw video there is often a need to add or remove elements to improve the visual storytelling. This post-production work requires frame-by-frame animation/editing to generate the desired effect. AI promises to reduce the cost and time required to do this work. For example, a recent use case would be to add realistic looking fire to a forest. Obviously it is not practical or safe to set a forest on fire therefore animation is a preferred approach.
Problems solved: Marketing would like to acquire and test the capability of AI to enhance corporate videos with special effects to reduce the cost and time associated with this creative, prost-production process."
AI Data Goverance on Databricks Platform and Beyond,DTS-EDOT,"Within the Databricks platform there are a couple of modules from Unity Catalog (Lakehouse Monitoring), LakehouseIQ, and Databricks Assistants. 

Within Unity Catalog its currently providing recommendations to auto populate the descriptions of table and columns on the EDP. It's also providing proactive monitoring of data and workflows to automate root cause analysis for data downtime.  

Further use case around automating data classifications for security, copilot experience for developers and the ability to utilize 3rd party LLMs for development of new AI applications.
Problems solved: We have 10s thousands of data assets that require better descriptions and metadata in order to improve data discovery.  This is a significant amount of effort required to improve data discoverability.   On top of the volume of data is the overall data management, data governance and data solution delivery it takes to main EDC data.  By introducing native capabilities that Databricks offers it can help EDC manage and scale its data maturity across security, monitoring data quality, monitoring data flows, modernization data assets and maintain overall costs."
AI for business applications,WCS - Portfolio Monitoring and Corporate Service Squad,"Hoping to have a discussion and for our tech lead to share a POC that was done outside EDC servers with mock data.
Problems solved: I'd like to connect with the group to have a discussion with our tech lead to understand current guidelines and whether we could leverage AI tools and functions within underwriting application. 

Ã‚Â Simpler applications that are quicker to build and provide an integrated user experience."
AI WIKI for prompts as well as creating guardrails for image generation,,"As we explore the benefits of AI as a marketing tool, I wanted to offer two suggestions:

1. to create a WIKI or centralized form to collaborate/share prompts as well as the results they produce, for image/text generation tools.  This will allow us to share and collaborate key words that produce results most aligned to our branding.  

2. Explore the feasibility of uploading original images into a sandbox environment for the image generation tools to pull from.  The idea here being that if the tool is only pulling from images we have created, the likelihood of it scraping from artists that it maybe infringing the copyrights of might be mitigated.
Problems solved: Improving campaign process efficiencies"
Audit Automation Agent,Risk & Audit,Collects evidence and drafts audit reports automatically.
Audit Evidence Summarization,Risk & Audit,Summarizes audit evidence for reporting.
Augmented audit reports,Internal Audit,"We could leverage the text enhancement function with the tool to enhance our audit report, to be more readable and comprehensive, also the tool might be able to QA or peer review some of our work which enhance the internal process."
Auto-Testing Agent,IT,Generates and executes automated tests for IT systems.
Automated Portfolio Reporting Agent,Finance & Corporate Operations,Generates portfolio reports and executive summaries.
Automating Data Observability,EDOT (Data Lake data engineers),"I hope that is will help in determine the normal operating parameters of the data lake and alert us any anomalies that pop up. I also want it to produce data quality tests in code save us having to write it manually.  Have an AI process that 'monitors' the data, monitors anomalies, train using our own data, watch the data lake, observe how the data journey taking place. Monitor the freshness, volume, schema changes etc...
Problems solved: There are not enough human resources to effectively monitor the health of the data lake and data quality. we need a mechanism to allow us to not only perform the atomate the monitoring tasks but to help decided what needs to be monitored and make suggestions on what tests we should perform. Have to ensure data is timely, must prove to the users that 'yes' the data is correct."
Automating Prospect Profiling,Marketing - Customer Analytics,Using VBA in Excel to call copilot to generate content for Marketing's Prospect Profiling.
Board Report Summaries,Finance & Corporate Operations,Summarizes board reports for executive consumption.
Board Report Summaries Agent,Finance & Corporate Operations,Creates concise board reports for executive review.
